陳佩琪爆出「京華城案死的人還不夠多」！公開「柯文哲開庭過程」全說了：如此兇殘,"政治 中心 ／ 綜合 報導 
 台北 地方法院 今日 （ 3 日 ） 續 審京華城案 ， 由 於 前 副 市長 彭振聲 的 妻子 身亡 ， 加上 網 路上 陸續 傳出 疑似 對 司法 人員 的 恐嚇 言論 ， 法院 外圍 因此 加強 維安 措施 。 前 台北市 長 柯文 哲在 法警 陪同 下 進入 法庭 ， 全程 表情 嚴肅 ， 入席 前 頻頻 轉頭 搜尋 妻子 陳 佩琪 的 身影 ， 直到 看見 她 坐在 旁 聽席 ， 神情 才略 顯 鬆 動 。 陳 佩琪 稍早 也 在 臉書上 發文 控訴 「 目前 因 這案 死 的 人 還不夠 多 ， 所以 繼續 以整 死 人 為樂 」 。"
獨家／資安震撼彈！萬惡駭客Hunters閃電謝幕　專家示警「已變身」,"民視 新聞 ／ 蘇恩民 報導 
 曾 讓 台灣 高科技 產業聞 風喪膽 的 勒索 軟體 駭客 組織 Hunters   International ， 今晚 突然 在 暗網 發出 震撼 聲明 ， 宣布 將關閉 Hunters   International 退出 江湖 ， 同時 作為 「 善意 的 表示 」 ， 承諾為 所有 受害 公司 免費 提供 解密 軟體 服務 。 這項 出人意料 的 發展 ， 雖許 多企 業 鬆 一口 氣 ， 但 資安界 已 偵測 到 不 尋常跡證 ， 並發出 警示 ： Hunters   International 的 消失 ， 恐怕 是 新一波 進化型 攻擊 的 開端 。"
2025年已過半　下半年「1生肖」擁5星財運還有貴人相助,2025 年 一 轉眼 就 過半 ， 經過 這 半年 的 努力 ， 您 的 財富 累積 提升 了 嗎 ？ 無論 上半年 過得 如何 ， 接下 來 都 要 好好 展望 下半年 的 好運 ！ 以下 用 12 生肖 下半年 財運 ， 若 財運不錯 ， 那 下半年 就 再 接 再厲 ； 若 沒 那麼 理想 ， 就要 趨吉避 凶 ， 轉劣 為勝 。 提前 做好 準備 ， 會 更 有利 打勝仗 ， 累積 更 多 財富 ！
快新聞／美6月非農就業人口結果超乎預期　美股今開高走高！標普、那指再創新高,"即時 中心 ／ 綜合 報導 
 美國 6 月 非 農就業 人口 增加 14.7 萬人 ， 超乎 預期 ， 市場 對 於 美國 經濟重 燃樂觀 情緒 ， 美國 股市 三大 指數 今天 開高 走高 ， 標普 五百 與 那史 達克 ， 更是 雙雙 再 創歷史 新高 。 道瓊 開盤 約 20 分鐘 ， 指數 上 漲 245 點 ， 報 44730 點 。 標普 五百 漲 0.59% ， 報 6263 點 ， 那史 達克漲 0.69% ， 報 20532 點 。 歐洲 三大 股市 同步 勁揚 ， 漲幅 在 0.52% 到 0.27% 之間 ， 以英國表現 為 佳 。"
陽光太刺眼？　基隆雙載騎士撞行人　63歲婦不治、4歲孫臉部受傷,"地方 中心 ／ 陳 崇翰 　 基隆 報導 
 今天 （ 週四 ） 下午 基隆 北寧路 潮境 公園 附近 ， 一輛 雙載 騎士 ， 從 平浪 橋騎 向 潮境 公園 時 ， 撞 上 正在 過馬路 的 63 歲 吳姓 婦人 和 4 歲 孫子 ， 造成 一死 一傷 的 悲劇 。 騎士 表示 陽光 太 刺眼 ， 沒 看到 有人 過馬路 ， 才 會 撞 上 。 而 親眼 目睹 妻子 遭撞 的 死者 丈夫 ， 在 受訪 時 只 嘆 了 一口 氣 ， 沒有 多 做 回應 。"
7月大災難「衝擊日本觀光」遊客怕爆！地震學者「輕吐1句實話」揭學術界現實,生活 中心 ／ 郭嘉柔 報導 日本 漫畫 《 我 看 見 的 未來   完全版 》 是 竜 樹諒 （ た つ き 諒 ） 的 著作 ， 內容 提及 今 （ 2025 ） 年 7 月 5 日 ， 日本 和 菲律賓 之間 的 海域 將發生 火山 爆發 ， 引發 地震 與 高達 百米 的 巨浪 海嘯 ， 不僅 日本 、 菲律賓 受到 影響 ， 台灣 、 香港 等 地 也 會 被 嚴重 波及 ， 引發 許多人 擔憂 。 對此 ， 日本 東京大學 的 教授 出面 打臉 ， 即便 是 有 科學 根據 的 地震 預測 也 是 「 不 可能 的 」 。
快新聞／大罷免穩了？　傳藍營轉樂觀、內部評估危險名單只剩「3+1」,"即時 中心 ／ 徐子 為 報導 
 現在 距離 726 大罷免 投票 只 剩 23 天 ， 傳出 國民黨 中央 對大 罷免 評估 翻轉 ， 開始 出 現樂觀 局面 。 除了 國民黨 主席 朱立倫 近日 公開 宣稱 ， 只要 支持者 都 站 出來 投票 「 每 一席 都 能 守住 」 ， 現 又 傳出 先前 在 5 月底 黨內 評估 可能 有 「 3 + 5 」 席 立委 被罷 ， 如今 危險 名單 已 轉為 保守 ， 只 剩下 「 3 + 1 」 。"
有影／中國隊拿五星旗提前慶祝GG！台灣選手「淡定出拳」拿下拳擊金牌,"體育 中心 ／ 巫旻璇 報導 
 2025 年 第 21 屆 「 世界 警察 消防 運動會 」 於 114 年 6 月 27 日至 7 月 6 日 ， 在 美國 阿拉 巴馬州 伯明罕 市舉行 ， 台灣 對 總獎 累積獎 牌數 18 金 、 14 銀 、 8 銅 ， 共 40 面獎牌 ， 其中 在 拳擊項 目新北 消防局 隊員陳鵬 畯 ， 擊退 中國隊 選手 ， 順利 拿下 金牌 ， 中國隊 在 比賽 中 信心十足 ， 拿 起 五星旗 狂 跳 ， 最後與 金牌 擦身 而過 ， 畫面 曝光 後 ， 也 讓 網友 忍不住 留言 「 提前 慶祝樂極 生悲 」 。"
梅西百貨年度煙火秀將登場　紐約警封路、加強安檢防恐攻,"民視 新聞 ／ 綜合 報導 
 明天 （ 7 月 4 日 ） 就是 美國 獨立 日 。 年度 梅西百貨煙 火秀 即將 在 紐約 登場 。 有鑑 於 國際 局勢 不穩 ， 紐約將 出動 無人機 監控 ， 並加 派 警察 在 各地 執行安檢 。 而 就 在 煙火 需求量 最高 的 時候 ， 加州 卻 發生 煙火 倉庫 爆炸 的 意外 ， 造成 多人 受傷 ， 目前 為止 還有 7 個 人 失 蹤 。"
美國慶將至！油價下降出遠門人數創新高　美股提早3小時休市,"民視 新聞 ／ 林 浩博   綜合 報導 
 明天 就是 7 月 4 日美國 國慶 ， 因為 碰上 週五 （ 6 月 27 日 ） ， 最近 油價 也 下降 ， 預計 出遠門 旅遊 的 人 數會創 新高 ， 美股 也 會 提早 3 小時 休市 ， 一同 慶祝國家 生日 。 不過 ， 美中關 稅戰 狂燒 ， 也 衝擊 國慶日 的 煙火 成本 ， 業者 擔憂撐 不住 ， 到 時 只好 大漲價 。"
