title,link,address,price,layout,area,floor,features,tags,image
免仲介費! 科技大樓-安沐居全新落成!,https://www.rakuya.com.tw/rent/rent_item?ehid=09d34e30854568f&from=v1,復興南路二段,"53,891元",1房2廳1衛,25.06坪,31/34樓,[],[],https://static.rakuya.com.tw/r2/n568/b0/78/30854568_1_c.jpeg?1752051339
信義區富比世廣場社區平面坡道大車位,https://www.rakuya.com.tw/rent/rent_item?ehid=08d9b331132414e&from=v1,松仁路,"6,000元",,8坪,--,[],[],https://static.rakuya.com.tw/r1/n414/52/46/31132414_8_c.jpeg?1754952947
圓山捷運三房電頻冷氣有陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0a6274313610408&from=v1,重慶北路三段,"32,000元",3房2廳1衛,26坪,4/5樓,[],[],https://static.rakuya.com.tw/r1/n040/98/ab/31361040_1_c.jpeg?1753860005
重慶北路三段哈密街口三角窗旺鋪,https://www.rakuya.com.tw/rent/rent_item?ehid=09af79314713733&from=v1,重慶北路三段,"42,000元",,4.2坪,1/1樓,[],[],https://static.rakuya.com.tw/r1/n373/c3/42/31471373_1_c.jpeg?1754918835
《仁愛圓環/信義安和商圈》首租全新設計師裝潢大三房,https://www.rakuya.com.tw/rent/rent_item?ehid=0b656131356478f&from=v1,仁愛路四段,"98,000元",3房2廳2衛,42.01坪,3~7/7樓,[],[],https://static.rakuya.com.tw/r1/n478/6d/8f/31356478_1_c.jpeg?1753957547
全新裝潢 雙主臥 日僑學校旁 可付傢俱,https://www.rakuya.com.tw/rent/rent_item?ehid=0ea33c31016434b&from=v1,天母西路,"118,000元",4房2廳3衛,80坪,6/7樓,[],[],https://static.rakuya.com.tw/r1/n434/c9/75/31016434_1_c.jpeg?1754656345
【可議】角間大面寬，適網拍.商辦.店面.餐飲.倉儲,https://www.rakuya.com.tw/rent/rent_item?ehid=08441421769852f&from=v1,文德路,"75,000元",,90坪,B1~1/5樓,[],[],https://static.rakuya.com.tw/r2/n852/92/2f/21769852_1_c.jpeg?1753966986
免仲介費! 科技大樓站全新辦公24~280坪,https://www.rakuya.com.tw/rent/rent_item?ehid=00f9b0308567241&from=v1,復興南路二段,"68,861元",開放式格局,35.84坪,4/34樓,[],[],https://static.rakuya.com.tw/r2/n724/bf/83/30856724_1_c.jpeg?1752051313
民生敦化優質純辦高樓開放空間好規劃,https://www.rakuya.com.tw/rent/rent_item?ehid=03ddf7315926520&from=v1,民生東路四段,"79,000元",1廳1衛,63.92坪,10/12樓,[],['新上架'],https://static.rakuya.com.tw/r2/n652/e3/22/31592652_1_c.jpeg?1755676964
富寓✅⭐中山國小站350公尺電梯陽台2房,https://www.rakuya.com.tw/rent/rent_item?ehid=02016331588870d&from=v1,錦州街,"30,000元",2房1廳1衛,24.65坪,2/7樓,[],['新上架'],https://static.rakuya.com.tw/r2/n870/0d/a0/31588870_1_c.jpeg?1755658584
富寓✅⭐雙連站150公尺公寓超值2房,https://www.rakuya.com.tw/rent/rent_item?ehid=0b82a1315877241&from=v1,民生西路,"25,000元",2房1廳1衛,14坪,3/4樓,[],['新上架'],https://static.rakuya.com.tw/r2/n724/25/3a/31587724_1_c.jpeg?1755657892
富寓✅❕中山國小站260公尺 全新裝潢兩房,https://www.rakuya.com.tw/rent/rent_item?ehid=0240cc31585621e&from=v1,新生北路三段,"27,000元",2房1廳1衛,18坪,2/3樓,[],['新上架'],https://static.rakuya.com.tw/r2/n621/a4/5b/31585621_1_c.jpeg?1755656664
士林單人分租溫套房|近天母新光三越，一人上班族合適,https://www.rakuya.com.tw/rent/rent_item?ehid=07c0c631571883c&from=v1,天母東路,"13,000元",1房1衛,4坪,2/5樓,[],['新上架'],https://static.rakuya.com.tw/r2/n883/db/32/31571883_1_c.jpeg?1755567030
富寓✅❤️近圓山捷運站 大龍洞溫馨住宅,https://www.rakuya.com.tw/rent/rent_item?ehid=00045831582934c&from=v1,哈密街,"25,000元",2房2廳1衛,16坪,2/3樓,[],['新上架'],https://static.rakuya.com.tw/r2/n934/5a/07/31582934_1_c.jpeg?1755600384
美樂*永春市場*3房新裝潢*採光好*空屋好擺設,https://www.rakuya.com.tw/rent/rent_item?ehid=09dd5b31574251b&from=v1,虎林街,"52,000元",3房2廳1衛,26.29坪,7/7樓,[],['新上架'],https://static.rakuya.com.tw/r1/n251/0f/8c/31574251_1_c.jpeg?1755575044
富寓✅⭐雙連站不用100公尺靜巷採光套房/可租補,https://www.rakuya.com.tw/rent/rent_item?ehid=063f88315729116&from=v1,民生西路,"15,000元",1房1衛,8坪,4/5樓,[],['新上架'],https://static.rakuya.com.tw/r2/n911/6e/e4/31572911_1_c.jpeg?1755572861
富寓✅⭐國父紀念館站全新採光4房/可租補,https://www.rakuya.com.tw/rent/rent_item?ehid=00387f315729106&from=v1,八德路三段,"48,800元",4房1廳1衛,23.07坪,4/5樓,[],['新上架'],https://static.rakuya.com.tw/r2/n910/08/b0/31572910_1_c.jpeg?1755572795
富寓✅⭐東門站/靜巷陽台1房1廳,https://www.rakuya.com.tw/rent/rent_item?ehid=0927f531572905f&from=v1,杭州南路一段,"24,000元",1房1廳1衛,15坪,2/6樓,[],['新上架'],https://static.rakuya.com.tw/r2/n905/fa/90/31572905_1_c.jpeg?1755572858
富寓✅⭐中山商圈電梯大採光套房,https://www.rakuya.com.tw/rent/rent_item?ehid=0075fe315729087&from=v1,林森北路,"13,800元",1房1衛,8坪,10/12樓,[],['新上架'],https://static.rakuya.com.tw/r2/n908/f7/2f/31572908_1_c.jpeg?1755572848
